,id,Brand,Type,CPUbrand,SSD,GPUbrand,RAM,OS,Touchscreen,Weight,Price,PPI
914,9,ASUS,Ultraportable,AMD,1 TB,AMD,8,Windows,No,Light,66990,156.23455106966654
915,10,HP,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,43900,141.21199808219862
916,11,DELL,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,46590,141.21199808219862
917,12,ASUS,Notebook,AMD,512 GB,NVIDIA,16,Windows,No,Medium,96085,141.21199808219862
918,13,LENOVO,Notebook,Intel,256 GB,Intel,4,Windows,No,Medium,33500,100.45466986113651
919,14,DELL,Gaming,Intel,512 GB,NVIDIA,16,Windows,No,Heavy,77490,141.21199808219862
920,15,LENOVO,Gaming,AMD,512 GB,NVIDIA,8,Windows,No,Heavy,67589,141.21199808219862
921,16,HP,Ultraportable,AMD,1 TB,AMD,16,Windows,No,Light,88999,170.23725351079585
922,17,ASUS,Notebook,Intel,256 GB,Intel,8,Windows,No,Light,61480,141.21199808219862
923,18,HP,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,75000,165.6321180513006
924,19,HP,Notebook,Intel,512 GB,Intel,8,Windows,Yes,Light,94990,165.6321180513006
925,20,HP,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Light,49999,157.3505121487356
926,21,HP,Notebook,AMD,512 GB,AMD,8,Windows,No,Light,48999,141.21199808219862
927,22,LENOVO,Notebook,Intel,256 GB,Intel,8,Windows,No,Light,40100,141.21199808219862
928,23,LENOVO,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Heavy,85999,141.21199808219862
929,24,ASUS,Notebook,AMD,512 GB,NVIDIA,8,Windows,No,Heavy,69900,141.21199808219862
930,1,ASUS,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,48500,141.21199808219862
931,2,HP,Notebook,Intel,512 GB,Intel,8,Windows,No,Light,62500,157.3505121487356
932,3,HP,Notebook,Intel,512 GB,Intel,8,Linux/Others,No,Light,37900,100.45466986113651
933,4,ASUS,Gaming,AMD,1 TB,NVIDIA,8,Windows,No,Medium,76990,161.09953825039287
934,5,LENOVO,Ultraportable,Intel,512 GB,Intel,16,Windows,No,Heavy,73990,141.21199808219862
935,6,DELL,Ultraportable,Intel,512 GB,Intel,16,Windows,No,Medium,71900,143.98086078969268
936,7,ASUS,Gaming,AMD,1 TB,NVIDIA,8,Windows,No,Heavy,80990,127.33567457123111
937,8,DELL,Ultraportable,Intel,512 GB,Intel,16,Windows,No,Light,137490,337.93365249157983
938,9,LENOVO,Ultraportable,AMD,1 TB,AMD,16,Windows,No,Light,89998,188.67962264113206
939,10,DELL,Ultraportable,Intel,512 GB,NVIDIA,16,Windows,No,Medium,63500,157.3505121487356
940,11,LENOVO,Ultraportable,Intel,512 GB,NVIDIA,16,Windows,No,Medium,74990,141.21199808219862
941,12,LENOVO,Notebook,Intel,512 GB,Intel,16,Windows,Yes,Medium,88799,157.3505121487356
942,13,LENOVO,Ultraportable,Intel,256 GB,Intel,4,Windows,No,Medium,32990,157.3505121487356
943,14,HP,Gaming,AMD,512 GB,NVIDIA,8,Windows,No,Medium,67900,141.21199808219862
944,15,HP,Ultraportable,Intel,1 TB,NVIDIA,16,Windows,No,Light,99999,165.6321180513006
945,16,LENOVO,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,39500,157.3505121487356
946,17,ACER,Gaming,Intel,1 TB,NVIDIA,16,Windows,No,Heavy,143990,141.21199808219862
947,18,ASUS,Notebook,Intel,512 GB,Intel,8,Windows,Yes,Light,51999,157.3505121487356
948,19,ASUS,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,34999,157.3505121487356
949,20,ASUS,Ultraportable,AMD,256 GB,AMD,8,Windows,No,Medium,34100,141.21199808219862
950,21,LENOVO,Notebook,AMD,512 GB,AMD,8,Windows,No,Medium,49500,141.21199808219862
951,22,HP,Notebook,AMD,512 GB,AMD,8,Windows,No,Medium,37184,141.21199808219862
952,23,LENOVO,Notebook,Intel,512 GB,Intel,8,Windows,No,Medium,52000,141.21199808219862
